City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
227,Bama,NG,11.5221,13.6856,74.59,85,100,6.29,moderate rain
228,Changde,CN,29.0464,111.6783,79.47,91,100,3.94,light rain
229,Cordoba,AR,-31.4135,-64.1811,65.75,36,0,8.05,clear sky
230,Teknaf,BD,20.8624,92.3058,79.27,89,100,3.85,overcast clouds
231,Korla,CN,41.7597,86.1469,83.1,31,2,3.29,clear sky
232,Cherskiy,RU,68.75,161.3,60.37,39,42,13.38,scattered clouds
233,Eureka,US,40.8021,-124.1637,79.66,72,25,5.01,scattered clouds
234,Koygorodok,RU,60.445,50.9968,56.57,88,23,3.78,few clouds
235,La Grande,US,45.3246,-118.0877,90.21,27,3,14.16,clear sky
236,Rocha,UY,-34.4833,-54.3333,46.99,78,3,5.41,clear sky
237,Lorengau,PG,-2.0226,147.2712,82.92,82,95,10.74,overcast clouds
238,Muncar,ID,-8.4333,114.3333,74.43,84,96,2.62,overcast clouds
239,Meulaboh,ID,4.1363,96.1285,75.7,91,79,4.9,broken clouds
240,Ler,SS,8.3018,30.1418,71.89,95,100,3.15,overcast clouds
241,Karratha,AU,-20.7377,116.8463,61.72,33,5,13.31,clear sky
242,Caucaia,BR,-3.7361,-38.6531,80.55,77,20,6.91,few clouds
243,Birao,CF,10.2849,22.7882,77.68,67,59,4.88,broken clouds
244,Rawson,AR,-43.3002,-65.1023,47.88,45,11,13.73,few clouds
245,Corning,US,42.1428,-77.0547,75.24,87,75,0.0,moderate rain
246,Isangel,VU,-19.55,169.2667,78.8,82,30,7.09,scattered clouds
247,Velasco Ibarra,EC,-1.05,-79.6167,81.82,64,91,1.43,overcast clouds
248,Lata,PT,40.1629,-8.3327,74.05,51,0,1.72,clear sky
249,Lukulu,ZM,-14.3707,23.242,65.35,44,52,10.42,broken clouds
250,Sorong,ID,-0.8833,131.25,77.59,89,93,1.72,overcast clouds
251,Bambous Virieux,MU,-20.3428,57.7575,71.22,72,56,15.26,broken clouds
252,Villarrica,PY,-25.75,-56.4333,58.39,67,40,3.91,scattered clouds
253,Angoche,MZ,-16.2325,39.9086,73.67,58,94,14.41,overcast clouds
254,Tuktoyaktuk,CA,69.4541,-133.0374,50.61,64,43,12.71,scattered clouds
255,Gambela,ET,8.25,34.5833,69.76,90,100,3.83,light rain
256,Nikolskoye,RU,59.7035,30.7861,76.89,62,19,3.51,few clouds
257,Wenling,CN,28.3669,121.36,80.91,89,100,2.91,overcast clouds
258,Sangar,RU,63.9242,127.4739,62.15,49,5,12.39,clear sky
259,Mount Isa,AU,-20.7333,139.5,42.57,70,51,0.0,broken clouds
260,Formosa,AR,-26.1775,-58.1781,60.78,77,0,3.44,clear sky
261,Tuatapere,NZ,-46.1333,167.6833,44.82,95,100,2.15,light rain
262,Alpena,US,45.0617,-83.4327,73.94,61,1,4.61,clear sky
263,San Quintin,MX,30.4833,-115.95,74.53,67,9,15.08,clear sky
264,Salvador,SV,13.8333,-88.9167,87.04,57,16,1.07,few clouds
265,Praia Da Vitoria,PT,38.7333,-27.0667,68.76,79,24,13.96,few clouds
266,Iqaluit,CA,63.7506,-68.5145,72.7,53,0,15.99,clear sky
267,Kenora,CA,49.8167,-94.4337,84.78,42,17,10.0,few clouds
268,Singaraja,ID,-8.112,115.0882,76.39,79,95,3.87,overcast clouds
269,Areado,BR,-21.3586,-46.1456,68.31,42,99,2.26,overcast clouds
270,Halifax,CA,44.6453,-63.5724,80.42,88,77,4.0,broken clouds
271,Yoichi,JP,43.2039,140.7703,79.61,82,99,5.44,overcast clouds
272,Kirakira,SB,-10.4544,161.9205,83.28,78,47,13.51,scattered clouds
273,Bredasdorp,ZA,-34.5322,20.0403,48.13,80,1,6.11,clear sky
274,Ahvaz,IR,31.3203,48.6693,100.35,15,0,4.61,clear sky
275,Tadine,NC,-21.55,167.8833,76.64,80,1,7.34,clear sky
276,Asau,RO,46.4333,26.4,66.4,69,7,3.06,clear sky
277,Malindi,KE,-3.2175,40.1191,76.46,81,48,19.73,scattered clouds
278,Odienne,CI,9.51,-7.5692,72.12,93,95,4.32,moderate rain
279,Bandarbeyla,SO,9.4942,50.8122,76.03,83,77,35.72,broken clouds
280,Coos Bay,US,43.3665,-124.2179,86.85,69,1,11.5,clear sky
281,Baoying,CN,33.2292,119.3092,72.72,97,100,5.55,moderate rain
282,Balabac,PH,7.9868,117.0645,81.03,75,100,9.82,overcast clouds
283,Mount Gambier,AU,-37.8333,140.7667,48.11,87,90,23.02,shower rain
284,Athmallik,IN,20.7219,84.5348,79.21,87,66,3.71,broken clouds
285,North Bend,US,43.4065,-124.2243,76.24,69,1,11.5,clear sky
286,Kruisfontein,ZA,-34.0033,24.7314,51.06,21,0,7.09,clear sky
287,Walvis Bay,NA,-22.9575,14.5053,67.08,28,4,6.46,clear sky
288,Bakersfield,US,35.3733,-119.0187,107.19,17,1,4.0,clear sky
289,Phek,IN,25.6667,94.5,61.18,99,100,0.89,overcast clouds
290,Senanga,ZM,-16.1167,23.2667,60.06,56,30,7.56,scattered clouds
291,Rabo De Peixe,PT,37.8,-25.5833,67.51,83,20,13.8,few clouds
292,Makakilo City,US,21.3469,-158.0858,88.12,55,75,8.05,broken clouds
293,Chicama,PE,-7.8447,-79.1469,64.94,69,4,8.28,clear sky
294,Laguna,US,38.421,-121.4238,99.21,32,1,3.0,clear sky
295,Manado,ID,1.487,124.8455,72.37,94,75,1.14,broken clouds
296,Airai,TL,-8.9266,125.4092,55.67,60,55,2.75,broken clouds
297,Valparaiso,CL,-33.0393,-71.6273,58.64,72,0,4.61,clear sky
298,Kaprijke,BE,51.208,3.6273,62.08,79,0,8.93,clear sky
299,Mecca,SA,21.4267,39.8261,90.27,18,96,3.65,overcast clouds
300,Sao Filipe,CV,14.8961,-24.4956,74.61,82,0,5.7,clear sky
301,Salalah,OM,17.0151,54.0924,77.09,94,75,6.91,light intensity drizzle
302,Zykovo,RU,55.9519,93.1461,61.54,95,99,3.18,light rain
303,Bakel,SN,14.905,-12.4568,91.17,45,73,5.77,broken clouds
304,Marzuq,YE,14.4,46.4667,71.76,56,100,18.07,overcast clouds
305,Kuytun,RU,54.3419,101.5036,60.8,89,32,0.63,scattered clouds
306,Grand Gaube,MU,-20.0064,57.6608,71.38,74,60,5.99,light rain
307,San Patricio,US,28.017,-97.5169,92.12,54,34,17.09,scattered clouds
308,Guerrero Negro,MX,27.9769,-114.0611,77.25,58,38,18.25,scattered clouds
309,Togur,RU,58.3631,82.8265,54.07,86,95,6.78,overcast clouds
310,Cidreira,BR,-30.1811,-50.2056,55.44,79,5,7.58,clear sky
311,Sitka,US,57.0531,-135.33,60.69,77,90,6.91,overcast clouds
312,Trinidad,BO,-14.8333,-64.9,79.11,52,0,2.35,clear sky
313,Ilulissat,GL,69.2167,-51.1,57.22,33,94,9.22,overcast clouds
314,Matara,LK,5.9485,80.5353,78.93,86,56,12.08,broken clouds
315,Beloha,MG,-25.1667,45.05,65.79,84,68,14.29,broken clouds
316,Linden,GY,6.0,-58.3,84.34,93,65,1.3,broken clouds
317,Tezu,IN,27.9167,96.1667,76.96,84,99,2.24,overcast clouds
318,Tancitaro,MX,19.3333,-102.3667,68.02,74,99,3.78,overcast clouds
319,Lypova Dolyna,UA,50.5643,33.7979,70.07,83,0,4.38,clear sky
320,Tazovskiy,RU,67.4667,78.7,45.63,69,100,10.8,overcast clouds
321,Verkhniy Avzyan,RU,53.5289,57.5372,55.33,97,100,3.83,overcast clouds
322,Egvekinot,RU,66.3167,-179.1667,41.9,98,100,7.27,light rain
323,Lasa,IT,46.6166,10.7002,65.28,94,89,5.66,overcast clouds
324,Cabedelo,BR,-6.9811,-34.8339,75.87,84,4,9.4,clear sky
325,Puerto Escondido,MX,15.85,-97.0667,86.83,58,90,6.91,overcast clouds
326,Ponta Delgada,PT,37.7333,-25.6667,68.72,83,20,13.8,few clouds
327,Nanortalik,GL,60.1432,-45.2371,50.29,69,94,5.86,overcast clouds
328,Areia Branca,BR,-4.9561,-37.1369,80.44,79,41,18.97,scattered clouds
329,Samarai,PG,-10.6167,150.6667,80.71,87,84,12.21,broken clouds
330,Amapa,BR,1.0,-52.0,72.7,98,72,4.83,broken clouds
331,Baykit,RU,61.67,96.37,60.85,75,57,0.29,broken clouds
332,Hohhot,CN,40.8106,111.6522,70.09,94,20,4.47,few clouds
333,Acapulco,MX,16.8634,-99.8901,75.02,94,90,8.05,overcast clouds
334,Marsh Harbour,BS,26.5412,-77.0636,82.45,69,3,12.88,clear sky
335,Chumikan,RU,54.7183,135.315,66.22,72,69,22.44,light rain
336,Lokossa,BJ,6.6387,1.7167,74.26,94,100,6.89,light rain
337,Shahr-E Kord,IR,32.3256,50.8644,58.77,26,0,4.61,clear sky
338,La Palma,US,33.8464,-118.0467,105.04,51,1,5.99,clear sky
339,Tianpeng,CN,30.9866,103.9393,73.87,94,37,2.75,scattered clouds
340,Orotukan,RU,62.2667,151.7,62.44,57,100,7.81,overcast clouds
341,Bandar-E Lengeh,IR,26.5579,54.8807,91.27,70,100,16.44,overcast clouds
342,Selfoss,IS,63.9331,-20.9971,50.04,84,96,7.14,overcast clouds
343,Deputatskiy,RU,69.3,139.9,60.58,38,90,5.44,overcast clouds
344,Normandin,CA,48.8333,-72.5321,73.71,56,47,10.36,scattered clouds
345,Tautira,PF,-17.7333,-149.15,86.02,69,67,19.22,broken clouds
346,Gannan,CN,47.9147,123.5031,72.68,73,69,3.78,broken clouds
347,Goderich,CA,43.7501,-81.7165,73.9,56,100,8.05,overcast clouds
348,Verdun,FR,49.25,5.3333,64.17,83,93,5.12,overcast clouds
349,Luena,AO,-11.7833,19.9167,55.94,48,1,4.16,clear sky
350,Kantunilkin,MX,21.0917,-87.45,87.64,51,91,5.46,overcast clouds
351,Emerald,AU,-23.5333,148.1667,57.97,35,30,11.39,scattered clouds
352,Kamenka,RU,51.3223,42.7678,67.59,80,100,5.75,overcast clouds
353,Cherkasskoye,RU,52.4333,47.2167,65.79,86,72,2.53,broken clouds
354,Murdochville,CA,48.9583,-65.5006,59.88,65,44,12.03,scattered clouds
355,Polunochnoye,RU,60.8697,60.4153,56.46,65,77,0.34,broken clouds
356,Temeni,GR,38.2333,22.1167,76.89,60,0,13.73,clear sky
357,Katobu,ID,-4.9408,122.5276,73.0,95,98,2.75,overcast clouds
358,Polson,US,47.6936,-114.1632,88.41,33,0,3.0,clear sky
359,Tilichiki,RU,60.4667,166.1,53.15,84,80,5.93,broken clouds
360,Aklavik,CA,68.2191,-135.0107,70.52,52,75,2.3,broken clouds
361,Bilibino,RU,68.0546,166.4372,53.28,58,57,3.87,broken clouds
362,Okhotsk,RU,59.3833,143.3,57.34,96,100,11.41,light rain
363,Wollongong,AU,-34.4333,150.8833,56.08,67,66,14.38,broken clouds
364,Karasjok,NO,69.4719,25.5112,53.71,77,31,8.23,scattered clouds
365,Gawler,AU,-34.6,138.7333,53.11,77,72,16.69,broken clouds
366,Ankazoabo,MG,-22.2833,44.5167,60.37,68,0,5.64,clear sky
367,Altamont,US,42.2068,-121.7372,84.88,24,1,8.01,clear sky
368,Mumbwa,ZM,-14.9783,27.0619,55.29,80,1,7.9,clear sky
369,Siaya,KE,0.0612,34.2882,62.01,87,65,2.84,broken clouds
370,Souillac,MU,-20.5167,57.5167,71.37,83,40,11.5,light rain
371,Namakkal,IN,11.2213,78.1652,75.34,85,94,4.68,moderate rain
372,Poya,NC,-21.35,165.15,76.98,72,2,3.15,clear sky
373,Prince Rupert,CA,54.3161,-130.3201,57.29,85,90,2.3,moderate rain
374,Zalari,RU,53.5584,102.5065,61.45,89,20,4.7,few clouds
375,Bathsheba,BB,13.2167,-59.5167,81.21,83,40,11.5,scattered clouds
376,Formosa Do Rio Preto,BR,-11.0483,-45.1931,75.87,36,41,4.54,scattered clouds
377,Ukiah,US,39.1502,-123.2078,100.13,24,1,12.66,clear sky
378,Maubin,MM,16.7333,95.65,78.96,93,94,2.44,overcast clouds
379,Kuala Selangor,MY,3.35,101.25,79.59,87,99,7.16,light rain
380,Annapolis,US,38.9785,-76.4922,95.47,65,1,9.22,clear sky
381,Iralaya,HN,15.0,-83.2333,82.89,71,1,8.21,clear sky
382,Ploemeur,FR,47.7333,-3.4333,64.81,77,0,8.05,clear sky
383,Phan Thiet,VN,10.9333,108.1,76.6,87,83,9.42,broken clouds
384,Srednekolymsk,RU,67.45,153.6833,65.68,49,100,2.48,overcast clouds
385,Alekseyevsk,RU,57.8406,108.3492,64.72,76,61,1.79,broken clouds
386,Touros,BR,-5.1989,-35.4608,77.9,82,3,10.51,clear sky
387,Thyboron,DK,56.6985,8.2124,62.1,81,0,24.25,clear sky
388,Qaqortoq,GL,60.7167,-46.0333,54.1,65,100,2.04,overcast clouds
389,General Pico,AR,-35.6566,-63.7568,54.55,29,0,20.54,clear sky
390,Zhigansk,RU,66.7697,123.3711,62.76,50,57,14.5,broken clouds
391,Winnemucca,US,40.973,-117.7357,93.25,4,1,5.75,clear sky
392,Miri,MY,4.4148,114.0089,75.34,94,20,1.14,few clouds
393,Dalvik,IS,65.9702,-18.5286,49.93,90,100,4.99,overcast clouds
394,Mwense,ZM,-10.3845,28.698,65.14,44,7,9.06,clear sky
395,Varadero,CU,23.1536,-81.2514,84.96,74,5,19.35,clear sky
396,Vestmanna,FO,62.1564,-7.1664,50.92,100,90,13.8,overcast clouds
397,Buala,SB,-8.145,159.5921,83.17,78,41,11.27,light rain
398,Ambatondrazaka,MG,-17.8333,48.4167,56.53,88,78,5.06,broken clouds
399,Ambilobe,MG,-13.2,49.05,64.49,81,33,3.85,scattered clouds
400,Luis Correia,BR,-2.8792,-41.6669,79.43,82,23,13.22,few clouds
401,Los Llanos De Aridane,ES,28.6585,-17.9182,68.13,93,0,16.11,clear sky
402,Rapar,IN,23.5667,70.6333,87.04,72,86,7.61,overcast clouds
403,Haines Junction,CA,60.7522,-137.5108,71.55,20,97,5.75,overcast clouds
404,Naron,ES,43.5167,-8.1528,70.65,84,0,10.42,clear sky
405,Bambanglipuro,ID,-7.95,110.2833,71.71,89,37,2.84,scattered clouds
406,Dunmore Town,BS,25.5,-76.65,82.0,69,7,9.44,clear sky
407,Poum,NC,-20.2333,164.0167,74.34,83,2,7.47,clear sky
408,Palenque,MX,17.5167,-91.9667,91.56,52,20,0.0,few clouds
409,Aginskoye,RU,51.1,114.53,66.54,69,100,2.55,overcast clouds
410,Sehithwa,BW,-20.4667,22.7167,59.04,58,76,7.43,broken clouds
411,Henties Bay,NA,-22.116,14.2845,66.85,56,7,3.09,clear sky
412,Thompson,CA,55.7435,-97.8558,77.16,50,75,13.8,smoke
413,Voyvozh,RU,62.892,54.9635,57.43,76,78,1.39,broken clouds
414,Gorom-Gorom,BF,14.4439,-0.2361,93.85,37,93,12.64,overcast clouds
415,Pemberton,CA,50.3164,-122.8027,69.49,72,99,6.26,overcast clouds
416,Olinda,BR,-8.0089,-34.8553,73.13,88,40,4.61,scattered clouds
417,Faanui,PF,-16.4833,-151.75,80.08,64,6,21.63,clear sky
418,Aljezur,PT,37.3191,-8.8033,66.27,77,0,6.89,clear sky
419,Kostolac,RS,44.7149,21.1711,69.15,94,97,4.05,overcast clouds
420,Maputo,MZ,-25.9653,32.5892,55.08,82,0,5.75,clear sky
421,Constitucion,CL,-35.3333,-72.4167,49.84,71,6,14.12,clear sky
422,Mocuba,MZ,-16.8392,36.9856,58.66,83,9,4.47,clear sky
423,Piste,MX,20.7,-88.5833,87.21,56,61,7.05,broken clouds
424,Hualmay,PE,-11.0964,-77.6139,65.61,77,11,11.68,few clouds
425,Pathein,MM,16.7833,94.7333,76.89,92,98,2.33,overcast clouds
426,Port Macquarie,AU,-31.4333,152.9167,62.38,53,0,13.8,clear sky
427,Navahrudak,BY,53.6,25.8333,68.27,75,40,2.06,scattered clouds
428,Wajima,JP,37.4,136.9,78.78,80,50,6.2,scattered clouds
429,Victoria Point,AU,-27.5833,153.3,61.29,52,0,3.0,clear sky
430,Yenagoa,NG,4.9247,6.2642,72.34,92,100,0.43,overcast clouds
431,Bjornevatn,NO,69.6672,29.9847,55.74,67,0,11.5,clear sky
432,Mikhaylovka,RU,50.06,43.2379,68.36,86,99,5.55,overcast clouds
433,Rumford,US,44.5537,-70.5509,84.06,55,59,9.15,broken clouds
434,Skjervoy,NO,70.0311,20.9714,51.12,88,100,11.74,overcast clouds
435,Sao Luiz Gonzaga,BR,-28.4083,-54.9608,53.85,82,8,7.14,clear sky
436,Malatya,TR,38.5,38.0,66.25,46,0,2.3,clear sky
437,Dong Xoai,VN,11.5333,106.9167,72.72,95,74,2.04,broken clouds
438,Amol,IR,36.4696,52.3507,70.99,92,100,3.91,overcast clouds
439,Kenai,US,60.5544,-151.2583,78.03,55,1,8.05,clear sky
440,Eseka,CM,3.65,10.7667,71.01,99,100,2.21,overcast clouds
441,Burgos,ES,42.3394,-3.7079,59.41,82,0,10.36,clear sky
442,Kibala,TD,9.1104,18.3463,76.95,83,20,0.0,few clouds
443,Alcaniz,ES,41.05,-0.1333,73.08,41,0,10.4,clear sky
444,Soyo,AO,-6.1349,12.3689,72.0,91,27,6.26,scattered clouds
445,Khasan,RU,42.4308,130.6434,72.7,97,78,1.23,broken clouds
446,Lubango,AO,-14.9172,13.4925,57.7,39,0,3.69,clear sky
447,Yar-Sale,RU,66.8333,70.8333,44.46,69,98,9.51,overcast clouds
448,Codrington,AU,-38.2667,141.9667,51.21,82,91,24.07,overcast clouds
449,Bose,IT,45.4612,8.0137,65.08,80,60,5.64,broken clouds
450,Williston,US,48.147,-103.618,99.01,35,0,1.01,clear sky
451,Nabire,ID,-3.3667,135.4833,75.16,91,99,2.95,overcast clouds
452,Alugan,PH,12.2188,125.4808,77.56,89,100,4.65,overcast clouds
453,Linxia,CN,35.6003,103.2064,61.38,83,36,3.33,scattered clouds
454,Sterling,US,39.0062,-77.4286,94.75,51,20,1.99,few clouds
455,Ahipara,NZ,-35.1667,173.1667,62.44,93,100,25.1,light rain
